Date,Open,High,Low,Close,Volume (BTC)
2013-10-21,166.82,183.66,166.2,183.66,12999.595316
2013-10-22,182.0,215.0,179.1,192.25,18841.9100113
2013-10-23,192.42,212.89,187.0,209.735,13223.1512505
2013-10-24,209.7,209.73,155.81,191.77657,41907.7434166
2013-10-25,193.4,195.13,167.75,183.9,20078.5786031
2013-10-26,183.9,187.79,175.21,181.93,6167.38029976
2013-10-27,181.05,198.75,180.34,193.5,6109.88748535
2013-10-28,193.85,199.0,192.15,196.98,5377.29396459
2013-10-29,196.21,205.0,195.5,204.18,8262.65399785
2013-10-30,203.0,206.0,195.05,199.07,14163.8679282
2013-10-31,198.9,204.0,195.28,202.0,5137.01819595
2013-11-01,201.91,203.8,200.5,201.95,1996.75507322
2013-11-02,203.14,205.79,202.23,204.06,4000.28384419
2013-11-03,203.81,219.89,203.0,212.0,5187.84085964
2013-11-04,213.7,230.5,212.1,227.71,11988.9366841
2013-11-05,229.6,250.75,225.44,241.97,23353.6771328
2013-11-06,244.99,269.0,240.6,266.0,28720.3571234
2013-11-07,265.07,297.79,262.0,295.37,35248.762628
2013-11-08,295.37,340.0,292.0,339.11,22990.9690174
2013-11-09,340.18,386.0,297.0,325.98,32100.4548095
2013-11-10,325.98,332.98,265.11,326.0,33308.6990316
2013-11-11,320.0,357.95,311.56,349.99,10335.276185
2013-11-12,349.99,400.0,340.0,363.15,13556.0019915
2013-11-13,363.77,414.73,357.8,406.34,12952.610122
2013-11-14,405.25,423.5,392.8,416.67,14213.5800165
2013-11-15,417.8,439.94,388.011,416.3403,17880.1917655
2013-11-16,419.96,448.95,415.31,437.7,9445.55541472
2013-11-17,435.83,499.99,435.07,496.0,9855.63586702
2013-11-18,495.0,789.0,492.11,789.0,23414.2285244
2013-11-19,795.98,909.0,360.0,500.01,38353.9612541
2013-11-20,499.99,630.0,450.01,602.0,25277.6994095
2013-11-21,601.0,745.0,589.9,717.03,17558.2036461
2013-11-22,723.6799,839.77,682.32,817.75,12447.5663827
2013-11-23,817.0,886.876543,775.0,837.65,9652.6752605
2013-11-24,839.0,860.0,745.0,828.7284,11975.739678
2013-11-25,828.7183,844.579,768.0,812.0,9419.3352279
2013-11-26,815.0,960.0,800.0,930.0,10545.0426508
2013-11-27,928.0001,970.0,894.0,969.0,12724.0672372
2013-11-28,969.0,1050.34,945.0,1012.75,9147.52297861
2013-11-29,1004.67,1145.0,999.12,1143.0,9342.62116659
2013-11-30,1142.99,1171.25,1090.0,1116.0,4839.64414282
2013-12-01,1119.5,1126.0,780.0,998.89,31961.9454513
2013-12-02,998.89,1059.0,936.0,1034.01,11370.6578011
2013-12-03,1035.44,1089.88,1000.0,1058.69445,5754.9778177
2013-12-04,1054.0,1175.0,1052.0,1130.0,6670.70346665
2013-12-05,1130.0,1139.25,848.42,983.0,24130.5401201
2013-12-06,983.0,1018.99,790.0,815.0,28852.9512875
2013-12-07,815.0202,830.0,538.0,695.0,43325.7825715
2013-12-08,695.0,790.39,650.0,783.46,13257.7318785
2013-12-09,784.0,943.9999,778.11,928.0,16886.6887777
2013-12-10,925.25979,992.0,895.0,984.7,10093.7161132
2013-12-11,984.9,990.0,804.26,886.02,16076.2238912
2013-12-12,888.99,893.97,838.0,869.99,8159.06273905
2013-12-13,868.99,923.71,850.02,871.99,9396.3108144
2013-12-14,877.28,879.82,840.0,858.48,3950.27872876
2013-12-15,855.7,871.8845,805.0,854.51,11479.8568787
2013-12-16,859.88,864.0,650.9088,682.02,29709.4758695
2013-12-17,682.056,751.0,613.0,650.0,24730.4534397
2013-12-18,650.99,667.5,381.51,526.9889,80447.8458882
2013-12-19,521.0,700.0,491.0,649.99,38041.0327336
2013-12-20,649.99,721.0,570.0,629.9999,25071.4297368
2013-12-21,629.9999,649.0,568.0,595.96,12033.4717328
2013-12-22,595.96,674.39,574.0123,629.0,14169.7020613
2013-12-23,625.49,670.0,617.61,657.0,8371.29160956
2013-12-24,657.0,665.35,627.0,650.0,6413.81824101
2013-12-25,648.22,695.0,635.0,690.0,4915.24019646
2013-12-26,690.0,764.0,684.3,760.0,17311.4170424
2013-12-27,761.0,761.45,704.0123,715.5201,11399.1087916
2013-12-28,715.0,740.01,690.0,711.23,9780.90425429
2013-12-29,712.1,732.0,700.0123,725.5,6041.29690647
2013-12-30,726.38,740.62618,724.73,735.82,4233.85916403
2013-12-31,735.82,740.0,710.02,739.28,9153.97349577
2014-01-01,737.67,757.0,735.0,753.0,5518.67649189
2014-01-02,750.0,800.0,742.52,786.6,9675.33792836
2014-01-03,786.6,818.99,768.0,802.49,10195.6172898
2014-01-04,802.4698,842.0,791.04,839.99,11519.4896033
2014-01-05,839.99,939.8,825.0,910.0,18425.4256987
2014-01-06,909.71,995.0,875.181,926.0,20705.1239817
2014-01-07,925.0,943.15,765.0,799.0,28593.4644678
2014-01-08,799.0,849.0,779.59,827.9,17699.2389581
2014-01-09,827.8,846.35,779.99,824.85,15452.6411424
